,song,artist,text
0,Outside,Calvin Harris Featuring Ellie Goulding,"""Outside"" by Calvin Harris:
    [Verse 1]
    Look at what you've done
    Stand still, fallin' away from me
    When it takes so long
    Fire's ou..."
1,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj","""Bang Bang"" by Jessie J, Ariana Grande & Nicki Minaj:
    [Verse 1: Jessie J]
    She got a body like an hourglass
    But I can give it to you all the time
    She got a..."
2,Time Of Our Lives,Pitbull & Ne-Yo,"""Time of Our Lives"" by Pitbull & Ne-Yo:
    [Pre-Chorus: Ne-Yo]
    I knew my rent was gon' be late about a week ago
    I worked my ass off, but I stil..."
3,Sledgehammer,Fifth Harmony,"""Sledgehammer"" by Fifth Harmony:
    [Intro: Camila]
    If you could take my pulse right now
    It would feel just like a sledgehammer
    If you c..."
4,Heroes (We Could Be),Alesso Featuring Tove Lo,"""Heroes (We Could Be)"" by Alesso:
    [Verse 1: Tove Lo]
    We could hide away in daylight
    We go undercover, wait out the Sun
    Got a secret si..."
5,Lips Are Movin,Meghan Trainor,"""Lips Are Movin"" by Meghan Trainor:
    [Intro]
    If your lips are movin, If your lips are movin
    If your lips are movin, then you’re lyin’, ly..."
6,Something In The Water,Carrie Underwood,"""Something in the Water"" by Carrie Underwood:
    [Verse 1]
    He said, ""I've been where you've been before
    Down every hallway's a slamming door""
    No way ..."
7,I Don't Mind,Usher Featuring Juicy J,"""I Don’t Mind"" by Usher:
    [Produced by Cirkut, Dr. Luke, & Rock City]
    
    [Intro: Usher]
    Yeah
    Ursher, baby
    This is for the A
    
    [Ch..."
8,Waves,Mr. Probz,"""Waves"" by Mr. Probz:
    [Verse]
    My face above the water
    My feet can't touch the ground
    Touch the ground, and it feels like
    I..."
9,No Type,Rae Sremmurd,"""No Type"" by Rae Sremmurd:
    [Intro: Swae Lee]
    Yeah
    EarDrummers
    Bad bitches is the...
    Mike WiLL Made-It
    Yeah
    
    [Chorus: Swae Lee &..."
10,Talladega,Eric Church,"""Talladega"" by Eric Church:
    It was the summer before the real world started and
    The deal was we would get to go, if we
    Cleaned i..."
11,Try Me,DeJ Loaf,"""Try Me"" by DeJ Loaf:
    [Chorus]
    Let a nigga try me, try me
    I'm a get his whole mothafuckin' family
    And I ain't playin wit n..."
12,Don't,Ed Sheeran,"""Don’t"" by Ed Sheeran:
    [Verse 1]
    I met this girl late last year
    She said ""don't you worry if I disappear""
    I told her I'm no..."
13,I'm Not The Only One,Sam Smith,"""I’m Not the Only One"" by Sam Smith:
    [Instrumental]
    
    [Verse 1]
    You and me, we made a vow
    For better or for worse
    I can't believe you let ..."
14,Blame,Calvin Harris Featuring John Newman,"""Calvin Harris - Blame ft. John Newman (Polish Version)"" by Genius Polska Tłumaczenia:
    [Verse 1]
    Can't be sleeping, keep on waking
    Without the woman next to me
    Guilt is burning, inside I'..."
