,song,artist,text
0,Too Hotty,"Quavo, Takeoff & Offset",
1,My Choppa Hate N****s,21 Savage & Metro Boomin,
2,Try,Colbie Caillat,"[Verse 1]
Put your make-up on
Get your nails done
Curl your hair
Run the extra mile
Keep it slim so they like you
Do they like you?
Get your sexy on
Don't be shy, girl
Take it off
This is what you want, to belong, so they like you
Do you like you?

[Chorus 1]
You don't have to try so hard
You don't have to give it all away
You just have to get up, get up, get up, get up
You don't have to change a single thing

[Refrain]
You don't have to try, try, try, try
You don't have to try, try, try, try
You don't have to try, try, try, try
You don't have to try
You don't have to try
Mmm, mmm

[Verse 2]
Get your shopping on, at the mall, max your credit cards
You don't have to choose, buy it all, so they like you
Do they like you?
Wait a second
Why, should you care, what they think of you?
When you're all alone, by yourself, do you like you?
Do you like you?

[Chorus 1]
You don't have to try so hard
You don't have to give it all away
You just have to get up, get up, get up, get up
You don't have to change a single thing
You don't have to try so hard
You don't have to bend until you break
You just have to get up, get up, get up, get up
You don't have to change a single thing

[Refrain]
You don't have to try, try, try, try
You don't have to try, try, try, try
You don't have to try, try, try, try
You don't have to try
No, you don't have to try, try, try, try
You don't have to try, try, try, try
You don't have to try, try, try, try
You don't have to try
You don't have to try
Mmm, mmm

[Chorus 1]
You don't have to try so hard
You don't have to give it all away
You just have to get up, get up, get up, get up
You don't have to change a single thing

[Refrain]
You don't have to try, try, try, try
You don't have to try, try, try, try
You don't have to try
You don't have to try

[Outro]
Take your make-up off
Let your hair down
Take a breath
Look into the mirror, at yourself
Don't you like you?
'Cause I like you"
3,Up To Something,Metro Boomin Featuring Travis Scott & Young Thug,"Pré-Coro
I always think about ''racks''
I think I am losing my mind
I'm not gonna settle for less
You don't see me wasting my fucking time
''Mo nengue'' vou te matar
Era isso que ele queria me ver a falar
But with me that shit doesn't fly
Eu vou continuar sempre a te ignorar

Coro
Hooo
This niggas up to something man
This niggas up to some (hmmm)
This niggas up to some (hmmmm ai ai)
Eu não consigo entender
Como que algumas pessoas são tão infelizes
Ao ponto de falar atoa
Fala bué mal mas à frente comigo está a rir
Eu não suporto esses ''mofuckers''
Mas eu nunca deixo de saudar, eu sou bem educado
Eu sou bem educado

Verso
Eu iria ficar triste mas tenho a minha família, mano eu tenho a minha Mama
Eu tenho a minha Sista, meu irmão, meus amigos, então vai ''pastar''
Eu estou ocupado à estudar para o bolso não ficar fininho
Rap anda tão seco, lhe chamo bolinho

Eu dou atenção à quem dá mas reciprocidade não se cobra, é um facto
Niggas se matam para comprar um telefone X, eu quero roupa no guarda fato
Eu sinto teu cheiro de longe mano, não subestima o meu olfato
Pego um, pego dois, quantos rappers forem, meto todos mesmo num prato

É que não me canso, é que sou chato
Flow afiado like a X-Acto
Não me comparo à ninguém, Rottweiler não vai competir com esses ratos
Mas eu não sou arrogante, não, não, não, não (2x)

Coro
Hooo
This niggas up to something man
This niggas up to some (hmmm)
This niggas up to some (hmmmm ai ai)
Eu não consigo entender
Como que algumas pessoas são tão infelizes
Ao ponto de falar atoa
Fala bué mal mas à frente comigo está a rir
Eu não suporto esses ''mofuckers''
Mas eu nunca deixo de saudar, eu sou bem educado
Eu sou bem educado

Hooo
This niggas up to something man
This niggas up to some (hooo)
This niggas up to some"
4,Stay,Post Malone,"[Verse 1]
It's true that all that you know is all that you are
You said that it's all that you want and more
Fuck off and pour another drink
And tell me what you think
You know that I'm too drunk to talk right now
You put your cigarette out on my face
So beautiful, please, woman

[Pre-Chorus]
Don't break your back for me
I'll put you out of your misery

[Chorus]
Tell me that it's all okay (Tell me that it's all okay)
I've been waitin' on this all damn day (Waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to—

[Verse 2]
Stay a little longer if you convince me
And tell me all the things that you have against me
Every time we make up, the truth is fadin'
Everybody's blind when the view's amazin'
Damn, who are we right now?
Can we have a little conversation?
Figure it out with no intoxication
We carry on, what is our motivation?
We're never wrong, how the hell we gonna make it?
Maybe we're used to this
Tell me, what are we to do?
It's like we only play to lose
Chasin' pain with an excuse
I love that shit and so do you

[Pre-Chorus]
But don't break your back for me
I'll put you out of your misery

[Chorus]
Tell me that it's all okay (Tell me that it's all okay)
I've been waitin' on this all damn day (Waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to stay

[Guitar Solo]

[Chorus]
Tell me that it's all okay (Tell me that it's all okay)
I've been waitin' on this all damn day (Waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to stay"
5,Yeah Boy,Kelsea Ballerini,"[Verse 1]
Captured my attention, make my heart stop and listen
When you look my way
Blue jeans and a ball cap, thinking that you're all that
And I'm thinking the same
You got that something in your eyes, I think about it all the time
If you ever wonder if I wanna make you mine

[Chorus]
Yeah, boy
I'm digging what you're doing
Yeah, boy
I'm trying to keep it cool
But you're making it hard, I'm wishing your arms
Were wrapping me up tight
Yeah, boy
You shine and you can't even help it
Yeah, boy
Your eyes could make the moon jealous
And if you wanna know if I wanna be your girl tonight
Yeah, boy

[Verse 2]
Every song that's playing gets me thinking about you, baby
And the way you roll
So let's put down the drop top, burn a little blacktop
Off of that road
Baby, what we waiting on?
The stars are out, the night is young
If you wanna know if I wanna go and get gone

[Chorus]
Yeah, boy
I'm digging what you're doing
Yeah, boy
I'm trying to keep it cool
But you're making it hard, I'm wishing your arms
Were wrapping me up tight
Yeah, boy
You shine and you can't even help it
Yeah, boy
Your eyes could make the moon jealous
And if you wanna know if I wanna be your girl tonight
Yeah, boy

[Bridge]
Yeah, boy
I wanna take a little ride with you
Yeah, boy
I wanna spend a little time with you
Yeah, boy
I wanna sip a little wine with you
Oh
Yeah, boy
I wanna take a little ride with you
Yeah, boy
I wanna spend a little time with you
Yeah, boy
I wanna sip a little wine with you
Oh

[Chorus]
Yeah, boy
I'm digging what you're doing
Yeah, boy
I'm trying to keep it cool
But you're making it hard, I'm wishing your arms
Were wrapping me up tight
Yeah, boy
You shine and you can't even help it
Yeah, boy
Your eyes could make the moon jealous
And if you wanna know if I wanna be your girl tonight, yeah
Yeah, boy

[Outro]
Yeah, boy
Yeah, boy
I wanna take a little ride with you
Yeah, boy
I wanna spend a little time with you
Yeah, boy
I wanna sip a little wine with you
Oh
Yeah, boy
I wanna take a little ride with you
Yeah, boy
I wanna spend a little time with you
Yeah, boy
I wanna sip a little wine with you
Oh
Yeah, boy"
6,Blank Space,I Prevail,"[Verse 1]
Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sin
Saw you there and I thought
Oh my God, look at that face
You look like my next mistake
Love's a game, wanna play?

Hey, hey

New money, suit and tie
I can read you like a magazine
Ain't it funny, rumors fly
And I know you heard about me
So hey, let's be friends
I'm dying to see how this one ends
Grab your passport and my hand
I can make the good girls bad for a weekend

[Chorus]
So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your... name

[Verse 2]
Cherry lips, crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the Queen, baby, I'm your King
Find out what you want
Be that guy for a month
But, the worst is yet to come, oh no

Screaming, crying, perfect storms
I could make all the tables turn
Rose garden filled with thorns
Keep you second guessing like
""Oh my God, who is he? Who is he?""
I get drunk on jealousy
But you'll come back each time you leave
'Cause, darling, I'm a nightmare dressed like a daydream

[Chorus]
So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name...

[Bridge]
Girls only want love if it's torture
Don't say I didn't, don't say I didn't warn you
It's torture, it's torture
Don't say I didn't warn you
It's torture, it's torture
Don't say I didn't warn you

[Chorus]
So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name"
7,Change Lanes,Kevin Gates,"[Intro]
Been through a lot of pain in my life
And I pray the Lord take it all away
W-W-W-W-Winner's Circle
I got family doing life, never see the sunshine again
And pray it all away
We all the way

[Chorus]
Diamond teeth when I bless the game, I was bein' quiet but got a lot to say
Unique chains on a freeway, don't need reigns, cocaine Wraith
Made a statement, I was grindin' on 'em, got an order off, want a replay?
Rolex, no diamonds in it, Swiss movement, no time for tickin'
Introverted, not tryna kick it, private life, please mind your business
Introverted, these days, introverted, these days
Plain Jane, I done changed lanes, Plain Jane, I done changed lanes
Plain Jane, I done changed lanes, Plain Jane, I done changed lanes

[Verse 1]
Making Salat, I ain't miss a beat
Praise to Allah, made it out the clink
Alhamdulillah, praise be to God
Big booty freak, givin' a massage
Lookin' in the mirror, lookin' at a star
She get on her knees and look up at a star
Remember being broke, wishin' on a star
Out the mud, no one givin' us a start
White gold, iced out, Audemars
Foreign car, push button, autostart
Rest and relaxation not involved, goin' hard Rolls Royce, R&R
Wonder why these niggas hate me?
Probably 'cause they know they ain't me
I ain't never been a gang member, Illinois labeled me a gang chief
Political spear, Judge Linehan racist, I’m bein' sentenced
Wrongful conviction, broke bread and lied to me
Gave him a quarter ticket, he did not appeal it
Layin' in my cell, lookin' at the ceiling
I'm on a division, me and all the killers
Throwin' shit and piss on all the staff members
Even got the warden, that’s why they had to ship us

[Chorus]
Diamond teeth when I bless the game, I was bein' quiet but got a lot to say
Unique chains on a freeway, don't need reigns, cocaine Wraith
Made a statement, I was grindin' on 'em, got an order off, want a replay?
Rolex, no diamonds in it, Swiss movement, no time for tickin'
Introverted, not tryna kick it, private life, please mind your business
Introverted, these days, introverted, these days
Plain Jane, I done changed lanes, Plain Jane, I done changed lanes
Plain Jane, I done changed lanes, Plain Jane, I done changed lanes

[Verse 2]
(Vroom Vroom) This a Camaro
I'm rockin' Bread Winners' fitness apparel
Sexy receptionist look like a dancer
Pardon me ma'am, I'm demandin' some answers
Not makin' plans that was made to be cancelled
Coulda said, ""Hi,"" you know I'm kinda bashful
Unwillin' to fuck with me, why is you starin'?
Got some real niggas and we into sharin'
Conservative aura, I glow in the dark
I speak in no English, I'm talkin' numerics
Islamic fashion out in Paris, overseas when I travel, McLaren
Come to think this was me in the alley
Mickie D's we was purchasin' salads
Chi-raq, buyin' chicken from Harold's
Jerk Villa curry chicken and cabbage
Fresh yams, politic'n with family
I got status, gotta catch me in traffic
Makin' music, but I'm really a trapper
Booty club, 'bout to fuck up a sandwich
A hundred bands, if you ain't catch him, what's happenin'?
Maceo Haziz, told him we platinum
Amsterdam on the tram, we in transit
Word to God, I'ma fuck a Kardashian

[Chorus]
Diamond teeth when I bless the game, I was bein' quiet but got a lot to say
Unique chains on a freeway, don't need reigns, cocaine Wraith
Made a statement, I was grindin' on 'em, got an order off, want a replay?
Rolex, no diamonds in it, Swiss movement, no time for tickin'
Introverted, not tryna kick it, private life, please mind your business
Introverted, these days, introverted, these days
Plain Jane, I done changed lanes, Plain Jane, I done changed lanes
Plain Jane, I done changed lanes, Plain Jane, I done changed lanes"
8,Blame It On Me,Post Malone,"[Verse 1]
I used to say I was free
Now all these people wanna keep on takin' pieces of me
They take away everything, had everything that I needed
They held me down, let me drown
They spit me out, right through the teeth
I can't pretend, ash in the wind, won't blow again
It was a breeze for you (Breeze for you)
These hurricanes inside of my brain, let it rain, made it look easy Can't look away, you love the pain, you love the pain

[Pre-Chorus]
Watchin' me bleed
You cut me down on my knees
No matter what you believe
I think we both can agree

[Chorus]
That you can't blame it on me (Ayy)
It's not my fault, it's not my fault, it's not my fault
Blame it on me (Ayy)
It's not my fault, it's not my fault, it's not my fault
I couldn't breathe
Almost lost myself, couldn't stop myself, I did it all
You can't blame it on me (Ayy)
It's not my fault, it's not my fault, it's not my fault

[Verse 2]
Every day's the same, yeah, I just watch 'em go
As I scrape away through the impossible
Yeah, I played the game but it was all for show
Tryna find my way, I nearly lost it though
Now I see dead people, most have no faith
Where did the time go? A watch with no face
They hit the ceilin', but my roof likes space
I took my chances so won't you

[Chorus]
Blame it on me (Ayy)
It's not my fault, it's not my fault, it's not my fault
Blame it on me (Ayy)
It's not my fault, it's not my fault, it's not my fault
I couldn't breathe
Almost lost myself, couldn't stop myself, I did it all
You can't blame it on me (Ayy)
It's not my fault, it's not my fault, it's not my fault, not my fault

[Bridge]
It's all my fault that I'm addicted to the clothes
It's all my fault, I paid the cost, yeah
It's all my fault that I ain't givin' up my soul
It's all my fault

[Pre-Chorus]
Watchin' me bleed (Watchin' me bleed)
You cut me down on my knees (You cut me down on my knees)
No matter what you believe
I think we both can agree

[Chorus]
That you can't blame it on me (Ayy)
It's not my fault, it's not my fault, it's not my fault
Blame it on me (Ayy)
It's not my fault, it's not my fault, it's not my fault
I couldn't breathe
Almost lost myself, couldn't stop myself, I did it all
You can't blame it on me (Ayy)
It's not my fault, it's not my fault, it's not my fault

[Outro]
It's not my fault, it's not my fault, it's not my fault
Blame it on me, yeah
It's not my fault, it's not my fault, it's not my fault"
9,Law,Yo Gotti Featuring E-40,"[Hook: Yo Gotti]
Don't fuck no bitch that's fucking with your dog, that's law
If you come up don't forget about your dogs, that's law
I'm a street nigga so it's fuck the law
If you broke nigga that should be against the law
Fuck no bitch that's fucking with your dog, that's law
If you come up don't forget about your dogs, that's law
I'm a street nigga so it's fuck the law
If you broke nigga that should be against the law

[Verse 1: Yo Gotti]
I'm a real hustler so don't knock it, that's law
It's all about the re-up and the profit, that's law
Can't be in the club without no bottles, that's law
We gon' ball today, fuck tomorrow, that's law
I be in the kitchen whipping, trying to cook the sauce
If you sat down to talk, then nigga you the law
Balmain mannequin, I'm fresher than a doll
Look so damn fresh that shit should be against the law
I'm living my life like the rules of the game and they call them the 48 laws
Money with money with all of my homies ain't fucking with none of these broads
Hustling just to show out for these bitches, you lost
In love but you ain't never got the pussy you want
Head on first night we need to turn that to law
Love at first sight man I don't fuck with that at all
Bitches can't be beefing 'bout no niggas, that's law
Niggas shouldn't beefing over bitches, that's soft

[Hook: Yo Gotti]
Don't fuck no bitch that's fucking with your dog, that's law
If you come up don't forget about your dogs, that's law
I'm a street nigga so it's fuck the law
If you broke nigga that should be against the law
Fuck no bitch that's fucking with your dog, that's law
If you come up don't forget about your dogs, that's law
I'm a street nigga so it's fuck the law
If you broke nigga that should be against the law

[Verse 2: Yo Gotti]
Gossiping ass nigga, news reporter
Working with the force, you on Law & Order
If your girl getting it then you must support her
I turnt up, I'm trying to fuck somebody daughter
Piecing up on bottles boy don't let me find out
Don't let me find out, don't let me find out
Them your homegirl’s shoes, bitch, don’t let me find out
Don't let me find out, don't let me find out
Trying to steal my swag, that copyright infringement
You can't rock all white if your white be looking dingy
The brokest bitches always trying to say they independent
I'm picking real bitches over bad bitches, do you feel me

[Hook: Yo Gotti]
Don't fuck no bitch that's fucking with your dog, that's law
If you come up don't forget about your dogs, that's law
I'm a street nigga so it's fuck the law
If you broke nigga that should be against the law
I'm a real hustler so don't knock it, that's law
It's all about the re-up and the profit, that's law
Can't be in the club without no bottles, that's law
We gon' ball today fuck tomorrow, that's law
If you come up don't forget about your dogs, that's law

[Verse 3: E-40]
Paper over plastic, P.O.P, that's law
Cash on delivery, C.O.D, that's law
Hush your mouth sometime and let 'em teach you, that's law
Never bite the hand of the man that feeds you, that's law
Don't forget who buttered your bread, don't get amnesia, that's law
Sleep with one eye closed, the back door you ain't sneaking, that's law
Know your bail bonds man and your lawyer number by heart, that's law
Interrogation, keep your tongue in park, that's law
You pushing a line, I'm pushing a line
You packing a nine, I'm packing a nine
Your bitch is a dime, my bitch is a dime
She curvy and fine, she curvy and fine
You having your bread, I'm having my dough
You selling them O's, I rap and do shows
You powder your nose, I only do 'dro
Mendocino, indoor/outdoor
Got to play the game of life 'til game of death, that's law
Don't be no bitch, don't stir up hella mess, that's law
He preying on his paper, didn't pray, that's law
Died with two guns in his hand from the AK, that's law

[Hook: Yo Gotti]
Don't fuck no bitch that's fucking with your dog, that's law
If you come up don't forget about your dogs, that's law
I'm a street nigga so it's fuck the law
If you broke nigga that should be against the law
I'm a real hustler so don't knock it, that's law
It's all about the re-up and the profit, that's law
Can't be in the club without no bottles, that's law
We gon' ball today, fuck tomorrow, that's law
Fuck no bitch that's fucking with your dog, that's law
If you come up don't forget about your dogs, that's law"
